date_key,full_date,year,quarter,month,day_of_month,day_of_week,day_name,month_name,is_turnaround,is_summer_spec,is_winter_spec
20210211,2021-02-11,2021,1,2,11,4,Thursday,February,0,0,1
20210212,2021-02-12,2021,1,2,12,5,Friday,February,0,0,1
20210213,2021-02-13,2021,1,2,13,6,Saturday,February,0,0,1
20210214,2021-02-14,2021,1,2,14,7,Sunday,February,0,0,1
20210215,2021-02-15,2021,1,2,15,1,Monday,February,0,0,1
20210216,2021-02-16,2021,1,2,16,2,Tuesday,February,0,0,1
20210217,2021-02-17,2021,1,2,17,3,Wednesday,February,0,0,1
20210218,2021-02-18,2021,1,2,18,4,Thursday,February,0,0,1
20210219,2021-02-19,2021,1,2,19,5,Friday,February,0,0,1
20210220,2021-02-20,2021,1,2,20,6,Saturday,February,0,0,1
20210221,2021-02-21,2021,1,2,21,7,Sunday,February,0,0,1
20210222,2021-02-22,2021,1,2,22,1,Monday,February,0,0,1
20210223,2021-02-23,2021,1,2,23,2,Tuesday,February,0,0,1
20210224,2021-02-24,2021,1,2,24,3,Wednesday,February,0,0,1
20210225,2021-02-25,2021,1,2,25,4,Thursday,February,0,0,1
20210226,2021-02-26,2021,1,2,26,5,Friday,February,0,0,1
20210227,2021-02-27,2021,1,2,27,6,Saturday,February,0,0,1
20210228,2021-02-28,2021,1,2,28,7,Sunday,February,0,0,1
20210301,2021-03-01,2021,1,3,1,1,Monday,March,0,0,1
20210302,2021-03-02,2021,1,3,2,2,Tuesday,March,0,0,1
20210303,2021-03-03,2021,1,3,3,3,Wednesday,March,0,0,1
20210304,2021-03-04,2021,1,3,4,4,Thursday,March,0,0,1
20210305,2021-03-05,2021,1,3,5,5,Friday,March,0,0,1
20210306,2021-03-06,2021,1,3,6,6,Saturday,March,0,0,1
20210307,2021-03-07,2021,1,3,7,7,Sunday,March,0,0,1
20210308,2021-03-08,2021,1,3,8,1,Monday,March,0,0,1
20210309,2021-03-09,2021,1,3,9,2,Tuesday,March,0,0,1
20210310,2021-03-10,2021,1,3,10,3,Wednesday,March,0,0,1
20210311,2021-03-11,2021,1,3,11,4,Thursday,March,0,0,1
20210312,2021-03-12,2021,1,3,12,5,Friday,March,0,0,1
20210313,2021-03-13,2021,1,3,13,6,Saturday,March,0,0,1
20210314,2021-03-14,2021,1,3,14,7,Sunday,March,0,0,1
20210315,2021-03-15,2021,1,3,15,1,Monday,March,1,0,1
20210316,2021-03-16,2021,1,3,16,2,Tuesday,March,1,0,1
20210317,2021-03-17,2021,1,3,17,3,Wednesday,March,1,0,1
20210318,2021-03-18,2021,1,3,18,4,Thursday,March,1,0,1
20210319,2021-03-19,2021,1,3,19,5,Friday,March,1,0,1
20210320,2021-03-20,2021,1,3,20,6,Saturday,March,1,0,1
20210321,2021-03-21,2021,1,3,21,7,Sunday,March,1,0,1
20210322,2021-03-22,2021,1,3,22,1,Monday,March,0,0,1
20210323,2021-03-23,2021,1,3,23,2,Tuesday,March,0,0,1
20210324,2021-03-24,2021,1,3,24,3,Wednesday,March,0,0,1
20210325,2021-03-25,2021,1,3,25,4,Thursday,March,0,0,1
20210326,2021-03-26,2021,1,3,26,5,Friday,March,0,0,1
20210327,2021-03-27,2021,1,3,27,6,Saturday,March,0,0,1
20210328,2021-03-28,2021,1,3,28,7,Sunday,March,0,0,1
20210329,2021-03-29,2021,1,3,29,1,Monday,March,0,0,1
20210330,2021-03-30,2021,1,3,30,2,Tuesday,March,0,0,1
20210331,2021-03-31,2021,1,3,31,3,Wednesday,March,0,0,1
20210401,2021-04-01,2021,2,4,1,4,Thursday,April,0,0,0
20210402,2021-04-02,2021,2,4,2,5,Friday,April,0,0,0
20210403,2021-04-03,2021,2,4,3,6,Saturday,April,0,0,0
20210404,2021-04-04,2021,2,4,4,7,Sunday,April,0,0,0
20210405,2021-04-05,2021,2,4,5,1,Monday,April,0,0,0
20210406,2021-04-06,2021,2,4,6,2,Tuesday,April,0,0,0
20210407,2021-04-07,2021,2,4,7,3,Wednesday,April,0,0,0
20210408,2021-04-08,2021,2,4,8,4,Thursday,April,0,0,0
20210409,2021-04-09,2021,2,4,9,5,Friday,April,0,0,0
20210410,2021-04-10,2021,2,4,10,6,Saturday,April,0,0,0
20210411,2021-04-11,2021,2,4,11,7,Sunday,April,0,0,0
20210412,2021-04-12,2021,2,4,12,1,Monday,April,0,0,0
20210413,2021-04-13,2021,2,4,13,2,Tuesday,April,0,0,0
20210414,2021-04-14,2021,2,4,14,3,Wednesday,April,0,0,0
20210415,2021-04-15,2021,2,4,15,4,Thursday,April,0,0,0
20210416,2021-04-16,2021,2,4,16,5,Friday,April,0,0,0
20210417,2021-04-17,2021,2,4,17,6,Saturday,April,0,0,0
20210418,2021-04-18,2021,2,4,18,7,Sunday,April,0,0,0
20210419,2021-04-19,2021,2,4,19,1,Monday,April,0,0,0
20210420,2021-04-20,2021,2,4,20,2,Tuesday,April,0,0,0
20210421,2021-04-21,2021,2,4,21,3,Wednesday,April,0,0,0
20210422,2021-04-22,2021,2,4,22,4,Thursday,April,0,0,0
20210423,2021-04-23,2021,2,4,23,5,Friday,April,0,0,0
20210424,2021-04-24,2021,2,4,24,6,Saturday,April,0,0,0
20210425,2021-04-25,2021,2,4,25,7,Sunday,April,0,0,0
20210426,2021-04-26,2021,2,4,26,1,Monday,April,0,0,0
20210427,2021-04-27,2021,2,4,27,2,Tuesday,April,0,0,0
20210428,2021-04-28,2021,2,4,28,3,Wednesday,April,0,0,0
20210429,2021-04-29,2021,2,4,29,4,Thursday,April,0,0,0
20210430,2021-04-30,2021,2,4,30,5,Friday,April,0,0,0
20210501,2021-05-01,2021,2,5,1,6,Saturday,May,0,1,0
20210502,2021-05-02,2021,2,5,2,7,Sunday,May,0,1,0
20210503,2021-05-03,2021,2,5,3,1,Monday,May,0,1,0
20210504,2021-05-04,2021,2,5,4,2,Tuesday,May,0,1,0
20210505,2021-05-05,2021,2,5,5,3,Wednesday,May,0,1,0
20210506,2021-05-06,2021,2,5,6,4,Thursday,May,0,1,0
20210507,2021-05-07,2021,2,5,7,5,Friday,May,0,1,0
20210508,2021-05-08,2021,2,5,8,6,Saturday,May,0,1,0
20210509,2021-05-09,2021,2,5,9,7,Sunday,May,0,1,0
20210510,2021-05-10,2021,2,5,10,1,Monday,May,0,1,0
20210511,2021-05-11,2021,2,5,11,2,Tuesday,May,0,1,0
20210512,2021-05-12,2021,2,5,12,3,Wednesday,May,0,1,0
20210513,2021-05-13,2021,2,5,13,4,Thursday,May,0,1,0
20210514,2021-05-14,2021,2,5,14,5,Friday,May,0,1,0
20210515,2021-05-15,2021,2,5,15,6,Saturday,May,0,1,0
20210516,2021-05-16,2021,2,5,16,7,Sunday,May,0,1,0
20210517,2021-05-17,2021,2,5,17,1,Monday,May,0,1,0
20210518,2021-05-18,2021,2,5,18,2,Tuesday,May,0,1,0
20210519,2021-05-19,2021,2,5,19,3,Wednesday,May,0,1,0
20210520,2021-05-20,2021,2,5,20,4,Thursday,May,0,1,0
20210521,2021-05-21,2021,2,5,21,5,Friday,May,0,1,0
20210522,2021-05-22,2021,2,5,22,6,Saturday,May,0,1,0
20210523,2021-05-23,2021,2,5,23,7,Sunday,May,0,1,0
20210524,2021-05-24,2021,2,5,24,1,Monday,May,0,1,0
20210525,2021-05-25,2021,2,5,25,2,Tuesday,May,0,1,0
20210526,2021-05-26,2021,2,5,26,3,Wednesday,May,0,1,0
20210527,2021-05-27,2021,2,5,27,4,Thursday,May,0,1,0
20210528,2021-05-28,2021,2,5,28,5,Friday,May,0,1,0
20210529,2021-05-29,2021,2,5,29,6,Saturday,May,0,1,0
20210530,2021-05-30,2021,2,5,30,7,Sunday,May,0,1,0
20210531,2021-05-31,2021,2,5,31,1,Monday,May,0,1,0
20210601,2021-06-01,2021,2,6,1,2,Tuesday,June,0,1,0
20210602,2021-06-02,2021,2,6,2,3,Wednesday,June,0,1,0
20210603,2021-06-03,2021,2,6,3,4,Thursday,June,0,1,0
20210604,2021-06-04,2021,2,6,4,5,Friday,June,0,1,0
20210605,2021-06-05,2021,2,6,5,6,Saturday,June,0,1,0
20210606,2021-06-06,2021,2,6,6,7,Sunday,June,0,1,0
20210607,2021-06-07,2021,2,6,7,1,Monday,June,0,1,0
20210608,2021-06-08,2021,2,6,8,2,Tuesday,June,0,1,0
20210609,2021-06-09,2021,2,6,9,3,Wednesday,June,0,1,0
20210610,2021-06-10,2021,2,6,10,4,Thursday,June,0,1,0
20210611,2021-06-11,2021,2,6,11,5,Friday,June,0,1,0
20210612,2021-06-12,2021,2,6,12,6,Saturday,June,0,1,0
20210613,2021-06-13,2021,2,6,13,7,Sunday,June,0,1,0
20210614,2021-06-14,2021,2,6,14,1,Monday,June,0,1,0
20210615,2021-06-15,2021,2,6,15,2,Tuesday,June,1,1,0
20210616,2021-06-16,2021,2,6,16,3,Wednesday,June,1,1,0
20210617,2021-06-17,2021,2,6,17,4,Thursday,June,1,1,0
20210618,2021-06-18,2021,2,6,18,5,Friday,June,1,1,0
20210619,2021-06-19,2021,2,6,19,6,Saturday,June,1,1,0
20210620,2021-06-20,2021,2,6,20,7,Sunday,June,1,1,0
20210621,2021-06-21,2021,2,6,21,1,Monday,June,1,1,0
20210622,2021-06-22,2021,2,6,22,2,Tuesday,June,0,1,0
20210623,2021-06-23,2021,2,6,23,3,Wednesday,June,0,1,0
20210624,2021-06-24,2021,2,6,24,4,Thursday,June,0,1,0
20210625,2021-06-25,2021,2,6,25,5,Friday,June,0,1,0
20210626,2021-06-26,2021,2,6,26,6,Saturday,June,0,1,0
20210627,2021-06-27,2021,2,6,27,7,Sunday,June,0,1,0
20210628,2021-06-28,2021,2,6,28,1,Monday,June,0,1,0
20210629,2021-06-29,2021,2,6,29,2,Tuesday,June,0,1,0
20210630,2021-06-30,2021,2,6,30,3,Wednesday,June,0,1,0
20210701,2021-07-01,2021,3,7,1,4,Thursday,July,0,1,0
20210702,2021-07-02,2021,3,7,2,5,Friday,July,0,1,0
20210703,2021-07-03,2021,3,7,3,6,Saturday,July,0,1,0
20210704,2021-07-04,2021,3,7,4,7,Sunday,July,0,1,0
20210705,2021-07-05,2021,3,7,5,1,Monday,July,0,1,0
20210706,2021-07-06,2021,3,7,6,2,Tuesday,July,0,1,0
20210707,2021-07-07,2021,3,7,7,3,Wednesday,July,0,1,0
20210708,2021-07-08,2021,3,7,8,4,Thursday,July,0,1,0
20210709,2021-07-09,2021,3,7,9,5,Friday,July,0,1,0
20210710,2021-07-10,2021,3,7,10,6,Saturday,July,0,1,0
20210711,2021-07-11,2021,3,7,11,7,Sunday,July,0,1,0
20210712,2021-07-12,2021,3,7,12,1,Monday,July,0,1,0
20210713,2021-07-13,2021,3,7,13,2,Tuesday,July,0,1,0
20210714,2021-07-14,2021,3,7,14,3,Wednesday,July,0,1,0
20210715,2021-07-15,2021,3,7,15,4,Thursday,July,0,1,0
20210716,2021-07-16,2021,3,7,16,5,Friday,July,0,1,0
20210717,2021-07-17,2021,3,7,17,6,Saturday,July,0,1,0
20210718,2021-07-18,2021,3,7,18,7,Sunday,July,0,1,0
20210719,2021-07-19,2021,3,7,19,1,Monday,July,0,1,0
20210720,2021-07-20,2021,3,7,20,2,Tuesday,July,0,1,0
20210721,2021-07-21,2021,3,7,21,3,Wednesday,July,0,1,0
20210722,2021-07-22,2021,3,7,22,4,Thursday,July,0,1,0
20210723,2021-07-23,2021,3,7,23,5,Friday,July,0,1,0
20210724,2021-07-24,2021,3,7,24,6,Saturday,July,0,1,0
20210725,2021-07-25,2021,3,7,25,7,Sunday,July,0,1,0
20210726,2021-07-26,2021,3,7,26,1,Monday,July,0,1,0
20210727,2021-07-27,2021,3,7,27,2,Tuesday,July,0,1,0
20210728,2021-07-28,2021,3,7,28,3,Wednesday,July,0,1,0
20210729,2021-07-29,2021,3,7,29,4,Thursday,July,0,1,0
20210730,2021-07-30,2021,3,7,30,5,Friday,July,0,1,0
20210731,2021-07-31,2021,3,7,31,6,Saturday,July,0,1,0
20210801,2021-08-01,2021,3,8,1,7,Sunday,August,0,1,0
20210802,2021-08-02,2021,3,8,2,1,Monday,August,0,1,0
20210803,2021-08-03,2021,3,8,3,2,Tuesday,August,0,1,0
20210804,2021-08-04,2021,3,8,4,3,Wednesday,August,0,1,0
20210805,2021-08-05,2021,3,8,5,4,Thursday,August,0,1,0
20210806,2021-08-06,2021,3,8,6,5,Friday,August,0,1,0
20210807,2021-08-07,2021,3,8,7,6,Saturday,August,0,1,0
20210808,2021-08-08,2021,3,8,8,7,Sunday,August,0,1,0
20210809,2021-08-09,2021,3,8,9,1,Monday,August,0,1,0
20210810,2021-08-10,2021,3,8,10,2,Tuesday,August,0,1,0
20210811,2021-08-11,2021,3,8,11,3,Wednesday,August,0,1,0
20210812,2021-08-12,2021,3,8,12,4,Thursday,August,0,1,0
20210813,2021-08-13,2021,3,8,13,5,Friday,August,0,1,0
20210814,2021-08-14,2021,3,8,14,6,Saturday,August,0,1,0
20210815,2021-08-15,2021,3,8,15,7,Sunday,August,0,1,0
20210816,2021-08-16,2021,3,8,16,1,Monday,August,0,1,0
20210817,2021-08-17,2021,3,8,17,2,Tuesday,August,0,1,0
20210818,2021-08-18,2021,3,8,18,3,Wednesday,August,0,1,0
20210819,2021-08-19,2021,3,8,19,4,Thursday,August,0,1,0
20210820,2021-08-20,2021,3,8,20,5,Friday,August,0,1,0
20210821,2021-08-21,2021,3,8,21,6,Saturday,August,0,1,0
20210822,2021-08-22,2021,3,8,22,7,Sunday,August,0,1,0
20210823,2021-08-23,2021,3,8,23,1,Monday,August,0,1,0
20210824,2021-08-24,2021,3,8,24,2,Tuesday,August,0,1,0
20210825,2021-08-25,2021,3,8,25,3,Wednesday,August,0,1,0
20210826,2021-08-26,2021,3,8,26,4,Thursday,August,0,1,0
20210827,2021-08-27,2021,3,8,27,5,Friday,August,0,1,0
20210828,2021-08-28,2021,3,8,28,6,Saturday,August,0,1,0
20210829,2021-08-29,2021,3,8,29,7,Sunday,August,0,1,0
20210830,2021-08-30,2021,3,8,30,1,Monday,August,0,1,0
20210831,2021-08-31,2021,3,8,31,2,Tuesday,August,0,1,0
20210901,2021-09-01,2021,3,9,1,3,Wednesday,September,0,1,0
20210902,2021-09-02,2021,3,9,2,4,Thursday,September,0,1,0
20210903,2021-09-03,2021,3,9,3,5,Friday,September,0,1,0
20210904,2021-09-04,2021,3,9,4,6,Saturday,September,0,1,0
20210905,2021-09-05,2021,3,9,5,7,Sunday,September,0,1,0
20210906,2021-09-06,2021,3,9,6,1,Monday,September,0,1,0
20210907,2021-09-07,2021,3,9,7,2,Tuesday,September,0,1,0
20210908,2021-09-08,2021,3,9,8,3,Wednesday,September,0,1,0
20210909,2021-09-09,2021,3,9,9,4,Thursday,September,0,1,0
20210910,2021-09-10,2021,3,9,10,5,Friday,September,0,1,0
20210911,2021-09-11,2021,3,9,11,6,Saturday,September,0,1,0
20210912,2021-09-12,2021,3,9,12,7,Sunday,September,0,1,0
20210913,2021-09-13,2021,3,9,13,1,Monday,September,0,1,0
20210914,2021-09-14,2021,3,9,14,2,Tuesday,September,0,1,0
20210915,2021-09-15,2021,3,9,15,3,Wednesday,September,1,1,0
20210916,2021-09-16,2021,3,9,16,4,Thursday,September,1,1,0
20210917,2021-09-17,2021,3,9,17,5,Friday,September,1,1,0
20210918,2021-09-18,2021,3,9,18,6,Saturday,September,1,1,0
20210919,2021-09-19,2021,3,9,19,7,Sunday,September,1,1,0
20210920,2021-09-20,2021,3,9,20,1,Monday,September,1,1,0
20210921,2021-09-21,2021,3,9,21,2,Tuesday,September,1,1,0
20210922,2021-09-22,2021,3,9,22,3,Wednesday,September,0,1,0
20210923,2021-09-23,2021,3,9,23,4,Thursday,September,0,1,0
20210924,2021-09-24,2021,3,9,24,5,Friday,September,0,1,0
20210925,2021-09-25,2021,3,9,25,6,Saturday,September,0,1,0
20210926,2021-09-26,2021,3,9,26,7,Sunday,September,0,1,0
20210927,2021-09-27,2021,3,9,27,1,Monday,September,0,1,0
20210928,2021-09-28,2021,3,9,28,2,Tuesday,September,0,1,0
20210929,2021-09-29,2021,3,9,29,3,Wednesday,September,0,1,0
20210930,2021-09-30,2021,3,9,30,4,Thursday,September,0,1,0
20211001,2021-10-01,2021,4,10,1,5,Friday,October,0,0,0
20211002,2021-10-02,2021,4,10,2,6,Saturday,October,0,0,0
20211003,2021-10-03,2021,4,10,3,7,Sunday,October,0,0,0
20211004,2021-10-04,2021,4,10,4,1,Monday,October,0,0,0
20211005,2021-10-05,2021,4,10,5,2,Tuesday,October,0,0,0
20211006,2021-10-06,2021,4,10,6,3,Wednesday,October,0,0,0
20211007,2021-10-07,2021,4,10,7,4,Thursday,October,0,0,0
20211008,2021-10-08,2021,4,10,8,5,Friday,October,0,0,0
20211009,2021-10-09,2021,4,10,9,6,Saturday,October,0,0,0
20211010,2021-10-10,2021,4,10,10,7,Sunday,October,0,0,0
20211011,2021-10-11,2021,4,10,11,1,Monday,October,0,0,0
20211012,2021-10-12,2021,4,10,12,2,Tuesday,October,0,0,0
20211013,2021-10-13,2021,4,10,13,3,Wednesday,October,0,0,0
20211014,2021-10-14,2021,4,10,14,4,Thursday,October,0,0,0
20211015,2021-10-15,2021,4,10,15,5,Friday,October,0,0,0
20211016,2021-10-16,2021,4,10,16,6,Saturday,October,0,0,0
20211017,2021-10-17,2021,4,10,17,7,Sunday,October,0,0,0
20211018,2021-10-18,2021,4,10,18,1,Monday,October,0,0,0
20211019,2021-10-19,2021,4,10,19,2,Tuesday,October,0,0,0
20211020,2021-10-20,2021,4,10,20,3,Wednesday,October,0,0,0
20211021,2021-10-21,2021,4,10,21,4,Thursday,October,0,0,0
20211022,2021-10-22,2021,4,10,22,5,Friday,October,0,0,0
20211023,2021-10-23,2021,4,10,23,6,Saturday,October,0,0,0
20211024,2021-10-24,2021,4,10,24,7,Sunday,October,0,0,0
20211025,2021-10-25,2021,4,10,25,1,Monday,October,0,0,0
20211026,2021-10-26,2021,4,10,26,2,Tuesday,October,0,0,0
20211027,2021-10-27,2021,4,10,27,3,Wednesday,October,0,0,0
20211028,2021-10-28,2021,4,10,28,4,Thursday,October,0,0,0
20211029,2021-10-29,2021,4,10,29,5,Friday,October,0,0,0
20211030,2021-10-30,2021,4,10,30,6,Saturday,October,0,0,0
20211031,2021-10-31,2021,4,10,31,7,Sunday,October,0,0,0
20211101,2021-11-01,2021,4,11,1,1,Monday,November,0,0,1
20211102,2021-11-02,2021,4,11,2,2,Tuesday,November,0,0,1
20211103,2021-11-03,2021,4,11,3,3,Wednesday,November,0,0,1
20211104,2021-11-04,2021,4,11,4,4,Thursday,November,0,0,1
20211105,2021-11-05,2021,4,11,5,5,Friday,November,0,0,1
20211106,2021-11-06,2021,4,11,6,6,Saturday,November,0,0,1
20211107,2021-11-07,2021,4,11,7,7,Sunday,November,0,0,1
20211108,2021-11-08,2021,4,11,8,1,Monday,November,0,0,1
20211109,2021-11-09,2021,4,11,9,2,Tuesday,November,0,0,1
20211110,2021-11-10,2021,4,11,10,3,Wednesday,November,0,0,1
20211111,2021-11-11,2021,4,11,11,4,Thursday,November,0,0,1
20211112,2021-11-12,2021,4,11,12,5,Friday,November,0,0,1
20211113,2021-11-13,2021,4,11,13,6,Saturday,November,0,0,1
20211114,2021-11-14,2021,4,11,14,7,Sunday,November,0,0,1
20211115,2021-11-15,2021,4,11,15,1,Monday,November,0,0,1
20211116,2021-11-16,2021,4,11,16,2,Tuesday,November,0,0,1
20211117,2021-11-17,2021,4,11,17,3,Wednesday,November,0,0,1
20211118,2021-11-18,2021,4,11,18,4,Thursday,November,0,0,1
20211119,2021-11-19,2021,4,11,19,5,Friday,November,0,0,1
20211120,2021-11-20,2021,4,11,20,6,Saturday,November,0,0,1
20211121,2021-11-21,2021,4,11,21,7,Sunday,November,0,0,1
20211122,2021-11-22,2021,4,11,22,1,Monday,November,0,0,1
20211123,2021-11-23,2021,4,11,23,2,Tuesday,November,0,0,1
20211124,2021-11-24,2021,4,11,24,3,Wednesday,November,0,0,1
20211125,2021-11-25,2021,4,11,25,4,Thursday,November,0,0,1
20211126,2021-11-26,2021,4,11,26,5,Friday,November,0,0,1
20211127,2021-11-27,2021,4,11,27,6,Saturday,November,0,0,1
20211128,2021-11-28,2021,4,11,28,7,Sunday,November,0,0,1
20211129,2021-11-29,2021,4,11,29,1,Monday,November,0,0,1
20211130,2021-11-30,2021,4,11,30,2,Tuesday,November,0,0,1
20211201,2021-12-01,2021,4,12,1,3,Wednesday,December,0,0,1
20211202,2021-12-02,2021,4,12,2,4,Thursday,December,0,0,1
20211203,2021-12-03,2021,4,12,3,5,Friday,December,0,0,1
20211204,2021-12-04,2021,4,12,4,6,Saturday,December,0,0,1
20211205,2021-12-05,2021,4,12,5,7,Sunday,December,0,0,1
20211206,2021-12-06,2021,4,12,6,1,Monday,December,0,0,1
20211207,2021-12-07,2021,4,12,7,2,Tuesday,December,0,0,1
20211208,2021-12-08,2021,4,12,8,3,Wednesday,December,0,0,1
20211209,2021-12-09,2021,4,12,9,4,Thursday,December,0,0,1
20211210,2021-12-10,2021,4,12,10,5,Friday,December,0,0,1
20211211,2021-12-11,2021,4,12,11,6,Saturday,December,0,0,1
20211212,2021-12-12,2021,4,12,12,7,Sunday,December,0,0,1
20211213,2021-12-13,2021,4,12,13,1,Monday,December,0,0,1
20211214,2021-12-14,2021,4,12,14,2,Tuesday,December,0,0,1
20211215,2021-12-15,2021,4,12,15,3,Wednesday,December,1,0,1
20211216,2021-12-16,2021,4,12,16,4,Thursday,December,1,0,1
20211217,2021-12-17,2021,4,12,17,5,Friday,December,1,0,1
20211218,2021-12-18,2021,4,12,18,6,Saturday,December,1,0,1
20211219,2021-12-19,2021,4,12,19,7,Sunday,December,1,0,1
20211220,2021-12-20,2021,4,12,20,1,Monday,December,1,0,1
20211221,2021-12-21,2021,4,12,21,2,Tuesday,December,1,0,1
20211222,2021-12-22,2021,4,12,22,3,Wednesday,December,0,0,1
20211223,2021-12-23,2021,4,12,23,4,Thursday,December,0,0,1
20211224,2021-12-24,2021,4,12,24,5,Friday,December,0,0,1
20211225,2021-12-25,2021,4,12,25,6,Saturday,December,0,0,1
20211226,2021-12-26,2021,4,12,26,7,Sunday,December,0,0,1
20211227,2021-12-27,2021,4,12,27,1,Monday,December,0,0,1
20211228,2021-12-28,2021,4,12,28,2,Tuesday,December,0,0,1
20211229,2021-12-29,2021,4,12,29,3,Wednesday,December,0,0,1
20211230,2021-12-30,2021,4,12,30,4,Thursday,December,0,0,1
20211231,2021-12-31,2021,4,12,31,5,Friday,December,0,0,1
20220101,2022-01-01,2022,1,1,1,6,Saturday,January,0,0,1
20220102,2022-01-02,2022,1,1,2,7,Sunday,January,0,0,1
20220103,2022-01-03,2022,1,1,3,1,Monday,January,0,0,1
20220104,2022-01-04,2022,1,1,4,2,Tuesday,January,0,0,1
20220105,2022-01-05,2022,1,1,5,3,Wednesday,January,0,0,1
20220106,2022-01-06,2022,1,1,6,4,Thursday,January,0,0,1
20220107,2022-01-07,2022,1,1,7,5,Friday,January,0,0,1
20220108,2022-01-08,2022,1,1,8,6,Saturday,January,0,0,1
20220109,2022-01-09,2022,1,1,9,7,Sunday,January,0,0,1
20220110,2022-01-10,2022,1,1,10,1,Monday,January,0,0,1
20220111,2022-01-11,2022,1,1,11,2,Tuesday,January,0,0,1
20220112,2022-01-12,2022,1,1,12,3,Wednesday,January,0,0,1
20220113,2022-01-13,2022,1,1,13,4,Thursday,January,0,0,1
20220114,2022-01-14,2022,1,1,14,5,Friday,January,0,0,1
20220115,2022-01-15,2022,1,1,15,6,Saturday,January,0,0,1
20220116,2022-01-16,2022,1,1,16,7,Sunday,January,0,0,1
20220117,2022-01-17,2022,1,1,17,1,Monday,January,0,0,1
20220118,2022-01-18,2022,1,1,18,2,Tuesday,January,0,0,1
20220119,2022-01-19,2022,1,1,19,3,Wednesday,January,0,0,1
20220120,2022-01-20,2022,1,1,20,4,Thursday,January,0,0,1
20220121,2022-01-21,2022,1,1,21,5,Friday,January,0,0,1
20220122,2022-01-22,2022,1,1,22,6,Saturday,January,0,0,1
20220123,2022-01-23,2022,1,1,23,7,Sunday,January,0,0,1
20220124,2022-01-24,2022,1,1,24,1,Monday,January,0,0,1
20220125,2022-01-25,2022,1,1,25,2,Tuesday,January,0,0,1
20220126,2022-01-26,2022,1,1,26,3,Wednesday,January,0,0,1
20220127,2022-01-27,2022,1,1,27,4,Thursday,January,0,0,1
20220128,2022-01-28,2022,1,1,28,5,Friday,January,0,0,1
20220129,2022-01-29,2022,1,1,29,6,Saturday,January,0,0,1
20220130,2022-01-30,2022,1,1,30,7,Sunday,January,0,0,1
20220131,2022-01-31,2022,1,1,31,1,Monday,January,0,0,1
